row,kind,bin1,bin2,theta_arcmin,kept_after_cuts
119,xip,src3,src4,2.955824775230527,0
120,xip,src3,src4,6.016752640915019,1
121,xip,src3,src4,12.247448713915889,1
122,xip,src3,src4,24.930391683376275,1
123,xip,src3,src4,50.747257163882935,1
124,xip,src3,src4,103.2989831192456,1
125,xip,src3,src4,210.27106704526625,1
126,xip,src4,src4,0.7133649061081178,0
127,xip,src4,src4,1.4520956109204288,0
128,xip,src4,src4,2.955824775230527,0
129,xip,src4,src4,6.016752640915019,1
130,xip,src4,src4,12.247448713915889,1
131,xip,src4,src4,24.930391683376275,1
132,xip,src4,src4,50.747257163882935,1
133,xip,src4,src4,103.2989831192456,1
134,xip,src4,src4,210.27106704526625,1
135,xim,src0,src0,0.7133649061081178,0
136,xim,src0,src0,1.4520956109204288,0
137,xim,src0,src0,2.955824775230527,0
138,xim,src0,src0,6.016752640915019,0
139,xim,src0,src0,12.247448713915889,0
140,xim,src0,src0,24.930391683376275,0
141,xim,src0,src0,50.747257163882935,1
142,xim,src0,src0,103.2989831192456,1
143,xim,src0,src0,210.27106704526625,1
144,xim,src0,src1,0.7133649061081178,0
145,xim,src0,src1,1.4520956109204288,0
146,xim,src0,src1,2.955824775230527,0
147,xim,src0,src1,6.016752640915019,0
148,xim,src0,src1,12.247448713915889,0
149,xim,src0,src1,24.930391683376275,0
150,xim,src0,src1,50.747257163882935,1
151,xim,src0,src1,103.2989831192456,1
152,xim,src0,src1,210.27106704526625,1
153,xim,src0,src2,0.7133649061081178,0
154,xim,src0,src2,1.4520956109204288,0
155,xim,src0,src2,2.955824775230527,0
156,xim,src0,src2,6.016752640915019,0
157,xim,src0,src2,12.247448713915889,0
158,xim,src0,src2,24.930391683376275,0
159,xim,src0,src2,50.747257163882935,1
160,xim,src0,src2,103.2989831192456,1
161,xim,src0,src2,210.27106704526625,1
162,xim,src0,src3,0.7133649061081178,0
163,xim,src0,src3,1.4520956109204288,0
164,xim,src0,src3,2.955824775230527,0
165,xim,src0,src3,6.016752640915019,0
166,xim,src0,src3,12.247448713915889,0
167,xim,src0,src3,24.930391683376275,0
168,xim,src0,src3,50.747257163882935,1
169,xim,src0,src3,103.2989831192456,1
170,xim,src0,src3,210.27106704526625,1
