row,kind,pair_index,bin1_1based,bin2_1based,bin1,bin2,theta_index,theta_arcmin,value
64,xip,7,2,4,src1,src3,1,1.4520956109204288,5.1233992028368166e-05
65,xip,7,2,4,src1,src3,2,2.955824775230527,1.8461149440658024e-05
66,xip,7,2,4,src1,src3,3,6.016752640915019,1.7550506797574094e-05
67,xip,7,2,4,src1,src3,4,12.247448713915889,7.884179283215104e-06
68,xip,7,2,4,src1,src3,5,24.930391683376275,8.313369445225835e-07
69,xip,7,2,4,src1,src3,6,50.747257163882935,2.0347169257131823e-06
70,xip,7,2,4,src1,src3,7,103.29898311924559,7.707765494619501e-07
71,xip,7,2,4,src1,src3,8,210.27106704526622,-6.613763375467868e-08
72,xip,8,2,5,src1,src4,0,0.7133649061081178,5.417523573629514e-05
73,xip,8,2,5,src1,src4,1,1.4520956109204288,5.192548770303395e-05
74,xip,8,2,5,src1,src4,2,2.955824775230527,2.06291400138888e-05
75,xip,8,2,5,src1,src4,3,6.016752640915019,1.6551715641654665e-05
76,xip,8,2,5,src1,src4,4,12.247448713915889,7.067940031255198e-06
77,xip,8,2,5,src1,src4,5,24.930391683376275,2.8744824659038646e-06
78,xip,8,2,5,src1,src4,6,50.747257163882935,1.5297120739321735e-06
79,xip,8,2,5,src1,src4,7,103.29898311924559,8.366081478439438e-07
80,xip,8,2,5,src1,src4,8,210.27106704526622,1.0735275624367522e-07
81,xip,9,3,3,src2,src2,0,0.7133649061081178,2.5620483848159128e-05
82,xip,9,3,3,src2,src2,1,1.4520956109204288,5.189110320592697e-05
83,xip,9,3,3,src2,src2,2,2.955824775230527,8.118751397533652e-06
84,xip,9,3,3,src2,src2,3,6.016752640915019,1.9906781691130836e-05
85,xip,9,3,3,src2,src2,4,12.247448713915889,6.629690441361071e-06
86,xip,9,3,3,src2,src2,5,24.930391683376275,4.077314761566688e-06
87,xip,9,3,3,src2,src2,6,50.747257163882935,1.4357876133668114e-06
88,xip,9,3,3,src2,src2,7,103.29898311924559,1.2531883356171667e-06
89,xip,9,3,3,src2,src2,8,210.27106704526622,-1.5988315836375144e-07
90,xip,10,3,4,src2,src3,0,0.7133649061081178,6.527569563609613e-05
91,xip,10,3,4,src2,src3,1,1.4520956109204288,5.6546345511223734e-05
92,xip,10,3,4,src2,src3,2,2.955824775230527,2.8000734364887286e-05
93,xip,10,3,4,src2,src3,3,6.016752640915019,1.5615327696144246e-05
94,xip,10,3,4,src2,src3,4,12.247448713915889,9.993012483836343e-06
95,xip,10,3,4,src2,src3,5,24.930391683376275,4.671987164965244e-06
96,xip,10,3,4,src2,src3,6,50.747257163882935,2.250500798154827e-06
97,xip,10,3,4,src2,src3,7,103.29898311924559,1.2860340206269708e-06
98,xip,10,3,4,src2,src3,8,210.27106704526622,4.148699045821256e-07
99,xip,11,3,5,src2,src4,0,0.7133649061081178,5.703414863184979e-05
100,xip,11,3,5,src2,src4,1,1.4520956109204288,2.9775037279396006e-05
101,xip,11,3,5,src2,src4,2,2.955824775230527,2.2173975769090435e-05
102,xip,11,3,5,src2,src4,3,6.016752640915019,2.0126664866044093e-05
103,xip,11,3,5,src2,src4,4,12.247448713915889,7.85182568027828e-06
104,xip,11,3,5,src2,src4,5,24.930391683376275,5.961132899322241e-06
105,xip,11,3,5,src2,src4,6,50.747257163882935,2.1315064124839436e-06
106,xip,11,3,5,src2,src4,7,103.29898311924559,1.3859348841199622e-06
107,xip,11,3,5,src2,src4,8,210.27106704526622,3.4671740961761486e-07
108,xip,12,4,4,src3,src3,0,0.7133649061081178,0.00010285532284120917
109,xip,12,4,4,src3,src3,1,1.4520956109204288,8.567519623857596e-05
110,xip,12,4,4,src3,src3,2,2.955824775230527,5.9587885121407636e-05
111,xip,12,4,4,src3,src3,3,6.016752640915019,1.8084094417700504e-05
112,xip,12,4,4,src3,src3,4,12.247448713915889,1.790102811416876e-05
113,xip,12,4,4,src3,src3,5,24.930391683376275,7.270707451993431e-06
114,xip,12,4,4,src3,src3,6,50.747257163882935,4.544410100895102e-06
115,xip,12,4,4,src3,src3,7,103.29898311924559,1.7213897911519497e-06
116,xip,12,4,4,src3,src3,8,210.27106704526622,4.482143752057173e-07
117,xip,13,4,5,src3,src4,0,0.7133649061081178,0.0001172400199944791
118,xip,13,4,5,src3,src4,1,1.4520956109204288,0.00010275686945472045
119,xip,13,4,5,src3,src4,2,2.955824775230527,5.293233834829113e-05
120,xip,13,4,5,src3,src4,3,6.016752640915019,2.822360183655788e-05
121,xip,13,4,5,src3,src4,4,12.247448713915889,1.8126731419985165e-05
122,xip,13,4,5,src3,src4,5,24.930391683376275,1.230131225497622e-05
123,xip,13,4,5,src3,src4,6,50.747257163882935,4.90574676111279e-06
124,xip,13,4,5,src3,src4,7,103.29898311924559,2.7377271884966014e-06
125,xip,13,4,5,src3,src4,8,210.27106704526622,1.4190778745108717e-06
126,xip,14,5,5,src4,src4,0,0.7133649061081178,0.00017988734724543683
127,xip,14,5,5,src4,src4,1,1.4520956109204288,0.0001468267119437613
128,xip,14,5,5,src4,src4,2,2.955824775230527,7.921108167980337e-05
129,xip,14,5,5,src4,src4,3,6.016752640915019,4.410533430343922e-05
130,xip,14,5,5,src4,src4,4,12.247448713915889,2.5391370986595463e-05
131,xip,14,5,5,src4,src4,5,24.930391683376275,1.468363965002049e-05
132,xip,14,5,5,src4,src4,6,50.747257163882935,7.075286006548915e-06
133,xip,14,5,5,src4,src4,7,103.29898311924559,2.3677002860661742e-06
134,xip,14,5,5,src4,src4,8,210.27106704526622,1.225847995846097e-06
135,xim,0,1,1,src0,src0,0,0.7133649061081178,-3.283275563274304e-05
136,xim,0,1,1,src0,src0,1,1.4520956109204288,5.980326223061694e-05
137,xim,0,1,1,src0,src0,2,2.955824775230527,1.9177274478967935e-05
138,xim,0,1,1,src0,src0,3,6.016752640915019,4.610301637334635e-06
139,xim,0,1,1,src0,src0,4,12.247448713915889,4.866306516083497e-06
140,xim,0,1,1,src0,src0,5,24.930391683376275,-4.232729993546689e-06
141,xim,0,1,1,src0,src0,6,50.747257163882935,-7.802688611657329e-07
142,xim,0,1,1,src0,src0,7,103.29898311924559,9.002723375759543e-08
143,xim,0,1,1,src0,src0,8,210.27106704526622,-5.566564048471398e-07
144,xim,1,1,2,src0,src1,0,0.7133649061081178,-7.500752972633092e-05
145,xim,1,1,2,src0,src1,1,1.4520956109204288,-3.594790210544046e-05
146,xim,1,1,2,src0,src1,2,2.955824775230527,1.3336782099411686e-05
147,xim,1,1,2,src0,src1,3,6.016752640915019,2.6489441614542457e-06
148,xim,1,1,2,src0,src1,4,12.247448713915889,2.9330039737065123e-06
149,xim,1,1,2,src0,src1,5,24.930391683376275,-1.8198899552836217e-07
150,xim,1,1,2,src0,src1,6,50.747257163882935,8.000324967163478e-07
151,xim,1,1,2,src0,src1,7,103.29898311924559,-1.2369241020795606e-07
152,xim,1,1,2,src0,src1,8,210.27106704526622,2.5425722597598026e-07
153,xim,2,1,3,src0,src2,0,0.7133649061081178,-3.892674307235247e-05
154,xim,2,1,3,src0,src2,1,1.4520956109204288,-9.678556848232123e-06
155,xim,2,1,3,src0,src2,2,2.955824775230527,-1.324741971685356e-06
156,xim,2,1,3,src0,src2,3,6.016752640915019,6.400031489205465e-07
157,xim,2,1,3,src0,src2,4,12.247448713915889,-3.091261001613007e-07
158,xim,2,1,3,src0,src2,5,24.930391683376275,5.519145572406617e-07
159,xim,2,1,3,src0,src2,6,50.747257163882935,-7.011114782610458e-07
160,xim,2,1,3,src0,src2,7,103.29898311924559,-7.82573134047204e-08
161,xim,2,1,3,src0,src2,8,210.27106704526622,2.1485510297006589e-07
162,xim,3,1,4,src0,src3,0,0.7133649061081178,3.3118326683545196e-05
163,xim,3,1,4,src0,src3,1,1.4520956109204288,-1.607296171627954e-05
164,xim,3,1,4,src0,src3,2,2.955824775230527,4.052075120864135e-06
165,xim,3,1,4,src0,src3,3,6.016752640915019,6.513129279472988e-06
166,xim,3,1,4,src0,src3,4,12.247448713915889,-7.566006571123595e-07
167,xim,3,1,4,src0,src3,5,24.930391683376275,-6.825430845320255e-07
168,xim,3,1,4,src0,src3,6,50.747257163882935,1.0288942982439481e-06
169,xim,3,1,4,src0,src3,7,103.29898311924559,-3.3338243931991497e-07
170,xim,3,1,4,src0,src3,8,210.27106704526622,4.987676963663869e-07
171,xim,4,1,5,src0,src4,0,0.7133649061081178,6.044719333382003e-05
172,xim,4,1,5,src0,src4,1,1.4520956109204288,-2.2825247986339186e-05
173,xim,4,1,5,src0,src4,2,2.955824775230527,2.218468933803893e-06
174,xim,4,1,5,src0,src4,3,6.016752640915019,-1.6423996149429804e-06
175,xim,4,1,5,src0,src4,4,12.247448713915889,-5.618306614027773e-07
176,xim,4,1,5,src0,src4,5,24.930391683376275,-1.0365938471337683e-06
177,xim,4,1,5,src0,src4,6,50.747257163882935,9.530176049946912e-07
178,xim,4,1,5,src0,src4,7,103.29898311924559,-2.0608340277670688e-07
179,xim,4,1,5,src0,src4,8,210.27106704526622,4.347420942238253e-07
180,xim,5,2,2,src1,src1,0,0.7133649061081178,2.3995094470819103e-05
181,xim,5,2,2,src1,src1,1,1.4520956109204288,5.145192296165566e-06
182,xim,5,2,2,src1,src1,2,2.955824775230527,-1.3360324108384798e-05
183,xim,5,2,2,src1,src1,3,6.016752640915019,3.575704252953354e-06
184,xim,5,2,2,src1,src1,4,12.247448713915889,4.416226546692494e-06
185,xim,5,2,2,src1,src1,5,24.930391683376275,1.998078151972977e-06
186,xim,5,2,2,src1,src1,6,50.747257163882935,6.971817529930224e-07
187,xim,5,2,2,src1,src1,7,103.29898311924559,3.417778545202472e-07
188,xim,5,2,2,src1,src1,8,210.27106704526622,4.0397876615604233e-07
189,xim,6,2,3,src1,src2,0,0.7133649061081178,5.15622042156575e-06
190,xim,6,2,3,src1,src2,1,1.4520956109204288,1.5184509412922793e-05
191,xim,6,2,3,src1,src2,2,2.955824775230527,1.7794964733990854e-06
192,xim,6,2,3,src1,src2,3,6.016752640915019,2.4985402076948585e-06
193,xim,6,2,3,src1,src2,4,12.247448713915889,5.192799705777656e-06
194,xim,6,2,3,src1,src2,5,24.930391683376275,2.585036683557679e-06
195,xim,6,2,3,src1,src2,6,50.747257163882935,1.4443788652424073e-06
196,xim,6,2,3,src1,src2,7,103.29898311924559,3.98345603660166e-07
197,xim,6,2,3,src1,src2,8,210.27106704526622,3.7324955926802984e-07
198,xim,7,2,4,src1,src3,0,0.7133649061081178,6.19822552761907e-06
199,xim,7,2,4,src1,src3,1,1.4520956109204288,2.7287992756785153e-05
200,xim,7,2,4,src1,src3,2,2.955824775230527,7.336638600403262e-06
