env_access,invariant_protection,regime
0.6506024096385542,0.004016064257028112,2.0
0.6546184738955823,0.004016064257028112,2.0
0.6586345381526104,0.004016064257028112,2.0
0.6626506024096385,0.004016064257028112,2.0
0.6666666666666666,0.004016064257028112,2.0
0.6706827309236947,0.004016064257028112,2.0
0.6746987951807228,0.004016064257028112,2.0
0.6787148594377509,0.004016064257028112,2.0
0.6827309236947791,0.004016064257028112,2.0
0.6867469879518072,0.004016064257028112,2.0
0.6907630522088353,0.004016064257028112,2.0
0.6947791164658634,0.004016064257028112,2.0
0.6987951807228915,0.004016064257028112,2.0
0.7028112449799196,0.004016064257028112,2.0
0.7068273092369477,0.004016064257028112,2.0
0.7108433734939759,0.004016064257028112,2.0
0.7148594377510039,0.004016064257028112,2.0
0.7188755020080321,0.004016064257028112,2.0
0.7228915662650601,0.004016064257028112,2.0
0.7269076305220883,0.004016064257028112,2.0
0.7309236947791165,0.004016064257028112,2.0
0.7349397590361445,0.004016064257028112,2.0
0.7389558232931727,0.004016064257028112,2.0
0.7429718875502007,0.004016064257028112,2.0
0.7469879518072289,0.004016064257028112,2.0
0.7510040160642569,0.004016064257028112,2.0
0.7550200803212851,0.004016064257028112,2.0
0.7590361445783131,0.004016064257028112,2.0
0.7630522088353413,0.004016064257028112,2.0
0.7670682730923694,0.004016064257028112,2.0
0.7710843373493975,0.004016064257028112,2.0
0.7751004016064257,0.004016064257028112,2.0
0.7791164658634537,0.004016064257028112,2.0
0.7831325301204819,0.004016064257028112,2.0
0.78714859437751,0.004016064257028112,2.0
0.7911646586345381,0.004016064257028112,2.0
0.7951807228915662,0.004016064257028112,2.0
0.7991967871485943,0.004016064257028112,2.0
0.8032128514056224,0.004016064257028112,2.0
0.8072289156626505,0.004016064257028112,2.0
0.8112449799196786,0.004016064257028112,2.0
0.8152610441767068,0.004016064257028112,2.0
0.8192771084337349,0.004016064257028112,2.0
0.823293172690763,0.004016064257028112,2.0
0.8273092369477911,0.004016064257028112,2.0
0.8313253012048192,0.004016064257028112,2.0
0.8353413654618473,0.004016064257028112,2.0
0.8393574297188754,0.004016064257028112,2.0
0.8433734939759036,0.004016064257028112,2.0
0.8473895582329316,0.004016064257028112,2.0
0.8514056224899598,0.004016064257028112,2.0
0.8554216867469878,0.004016064257028112,2.0
0.859437751004016,0.004016064257028112,2.0
0.8634538152610441,0.004016064257028112,2.0
0.8674698795180722,0.004016064257028112,2.0
0.8714859437751004,0.004016064257028112,2.0
0.8755020080321284,0.004016064257028112,2.0
0.8795180722891566,0.004016064257028112,2.0
0.8835341365461846,0.004016064257028112,2.0
0.8875502008032128,0.004016064257028112,2.0
0.8915662650602408,0.004016064257028112,2.0
0.895582329317269,0.004016064257028112,2.0
0.899598393574297,0.004016064257028112,2.0
0.9036144578313252,0.004016064257028112,2.0
0.9076305220883534,0.004016064257028112,2.0
0.9116465863453814,0.004016064257028112,2.0
0.9156626506024096,0.004016064257028112,2.0
0.9196787148594376,0.004016064257028112,2.0
0.9236947791164658,0.004016064257028112,2.0
0.9277108433734939,0.004016064257028112,2.0
0.931726907630522,0.004016064257028112,2.0
0.9357429718875501,0.004016064257028112,2.0
0.9397590361445782,0.004016064257028112,2.0
0.9437751004016064,0.004016064257028112,2.0
0.9477911646586344,0.004016064257028112,2.0
0.9518072289156626,0.004016064257028112,2.0
0.9558232931726907,0.004016064257028112,2.0
0.9598393574297188,0.004016064257028112,2.0
0.9638554216867469,0.004016064257028112,2.0
0.967871485943775,0.004016064257028112,2.0
0.9718875502008031,0.004016064257028112,2.0
0.9759036144578312,0.004016064257028112,2.0
0.9799196787148593,0.004016064257028112,2.0
0.9839357429718875,0.004016064257028112,2.0
0.9879518072289156,0.004016064257028112,2.0
0.9919678714859437,0.004016064257028112,2.0
0.9959839357429718,0.004016064257028112,2.0
1.0,0.004016064257028112,2.0
0.0,0.008032128514056224,4.0
0.004016064257028112,0.008032128514056224,4.0
0.008032128514056224,0.008032128514056224,4.0
0.012048192771084336,0.008032128514056224,4.0
0.01606425702811245,0.008032128514056224,4.0
0.020080321285140562,0.008032128514056224,4.0
0.024096385542168672,0.008032128514056224,4.0
