readout_strength,recovery_alpha_08,recovery_alpha_16,recovery_alpha_30
0.21070234113712374,0.26073088665460914,0.37540706063259394,0.5349630508601965
0.2140468227424749,0.26270622044997133,0.37874043729923856,0.539605643878961
0.21739130434782608,0.2646762761354643,0.3820560241394194,0.544201888602224
0.22073578595317725,0.2666410678142457,0.38535391609528025,0.5487522477378917
0.22408026755852842,0.26860060955178944,0.38863420760226963,0.5532571793745291
0.22742474916387959,0.270554915375986,0.3918969925918459,0.5577171370274756
0.23076923076923075,0.2725039992772438,0.3951423644941663,0.5621325696845012
0.23411371237458192,0.2744478752085882,0.398370416240763,0.5665039218510062
0.23745819397993312,0.2763865570857624,0.40158124026720377,0.5708316335947696
0.2408026755852843,0.27832005878732613,0.4047749285157389,0.5751161405902524
0.24414715719063546,0.2802483941547558,0.407951572437934,0.5793578741624561
0.24749163879598662,0.28217157699254336,0.411111262997289,0.5835572613303444
0.2508361204013378,0.2840896210682948,0.41425409067184255,0.5877147248498328
0.25418060200668896,0.28600254011282894,0.41738014545676294,0.5918306832563467
0.25752508361204013,0.2879103478202759,0.42048951686692526,0.5959055509069563
0.2608695652173913,0.2898130578481749,0.42358229393947466,0.59993973802209
0.26421404682274247,0.29171068381757204,0.42665856523637546,0.6039336507268316
0.26755852842809363,0.29360323931311777,0.42971841884694817,0.6078876910918055
0.2709030100334448,0.2954907378831645,0.43276194239039084,0.6118022571736538
0.27424749163879597,0.2973731930398631,0.4357892230182886,0.6156777430551077
0.27759197324414714,0.29925061825925986,0.4388003474171091,0.6195145388846618
0.2809364548494983,0.3011230269813931,0.44179540181068494,0.6233130309158498
0.2842809364548495,0.30299043261038905,0.44477447196268277,0.6270736015461287
0.28762541806020064,0.30485284851455813,0.44773764317905845,0.6307966293553757
0.2909698996655518,0.3067102880264905,0.45068500031050074,0.6344824891440003
0.294314381270903,0.30856276444315134,0.4536166277548606,0.638131551970675
0.29765886287625415,0.3104102910259765,0.45653260945956753,0.6417441851896906
