# t,rho,B,strain,J
3.989999999999999769e+00,1.073577026355599789e-01,9.902137460944284708e-01,2.361822694420934350e-03,8.164034305924761092e-01
4.019999999999999574e+00,1.074379392631608365e-01,9.901290389424548533e-01,2.370194528605787561e-03,8.162143140327576818e-01
4.049999999999999822e+00,1.075171781240443214e-01,9.900442208402460142e-01,2.378755466264225772e-03,8.160266276267570396e-01
4.080000000000000071e+00,1.075954303766568504e-01,9.899592961373334665e-01,2.387036167631960328e-03,8.158403522115401652e-01
4.109999999999999432e+00,1.076727070506873080e-01,9.898742671147908734e-01,2.395190679661493918e-03,8.156554740170512963e-01
4.139999999999999680e+00,1.077490190459940295e-01,9.897891264133594769e-01,2.403939596280882211e-03,8.154719777782449830e-01
4.169999999999999929e+00,1.078243771212463731e-01,9.897038784586991156e-01,2.412401192356684182e-03,8.152898405004382898e-01
4.200000000000000178e+00,1.078987919118069572e-01,9.896185276937614628e-01,2.420573506842548482e-03,8.151090491265003957e-01
4.229999999999999538e+00,1.079722739314094848e-01,9.895330785780949157e-01,2.428454634596907170e-03,8.149295908131275468e-01
4.259999999999999787e+00,1.080448335738095622e-01,9.894475355871495958e-01,2.436042726576272046e-03,8.147514529273989226e-01
4.290000000000000036e+00,1.081164811144090521e-01,9.893619032115786860e-01,2.443335990018113968e-03,8.145746230433836832e-01
4.320000000000000284e+00,1.081872267118545033e-01,9.892761756633394743e-01,2.451102842759240140e-03,8.143990889387917598e-01
4.349999999999999645e+00,1.082570803956314498e-01,9.891903567596370683e-01,2.458624434750077917e-03,8.142248301198450333e-01
4.379999999999999893e+00,1.083260520807963478e-01,9.891044510879203333e-01,2.465842521448884279e-03,8.140518342078505443e-01
4.410000000000000142e+00,1.083941515705365150e-01,9.890184632505345519e-01,2.472755346678851083e-03,8.138800896423548092e-01
4.439999999999999503e+00,1.084613885576696107e-01,9.889323978639626977e-01,2.479361214830919785e-03,8.137095850551895326e-01
4.469999999999999751e+00,1.085277726261191789e-01,9.888462595580627124e-01,2.485658490997562885e-03,8.135403092673055836e-01
4.500000000000000000e+00,1.085933132523668743e-01,9.887600529753057810e-01,2.491645601095515607e-03,8.133722512856474962e-01
4.530000000000000249e+00,1.086580198068816672e-01,9.886737827700102788e-01,2.497321031977487761e-03,8.132054003000714903e-01
4.559999999999999609e+00,1.087219015555265372e-01,9.885874536075751617e-01,2.502683331532746906e-03,8.130397456803009071e-01
4.589999999999999858e+00,1.087849676609429356e-01,9.885010701637139130e-01,2.507731108776679960e-03,8.128752769729236105e-01
4.620000000000000107e+00,1.088472271839134725e-01,9.884146371236841588e-01,2.512463033929290736e-03,8.127119838984288025e-01
4.649999999999999467e+00,1.089086890847032058e-01,9.883281591815180622e-01,2.516877838482652931e-03,8.125498563482806968e-01
4.679999999999999716e+00,1.089693622243798621e-01,9.882416395610317261e-01,2.521084979325904918e-03,8.123888843820311623e-01
4.709999999999999964e+00,1.090292553641087486e-01,9.881550769268419021e-01,2.525425260442758484e-03,8.122290570095298534e-01
4.740000000000000213e+00,1.090883771602627755e-01,9.880684760648712484e-01,2.529440076230302006e-03,8.120703596537904856e-01
4.769999999999999574e+00,1.091467361740650482e-01,9.879818417679537834e-01,2.533128309195540207e-03,8.119127829361934001e-01
4.799999999999999822e+00,1.092043408728276543e-01,9.878951788350137653e-01,2.536488906747268353e-03,8.117563176356348276e-01
4.830000000000000071e+00,1.092611996311710632e-01,9.878084920702484562e-01,2.539520881190308627e-03,8.116009546857840817e-01
4.859999999999999432e+00,1.093173207322245266e-01,9.877217862823066685e-01,2.542223309708116497e-03,8.114466851723762808e-01
4.889999999999999680e+00,1.093727123688077729e-01,9.876350662834711969e-01,2.544595334333617839e-03,8.112935003305378201e-01
4.919999999999999929e+00,1.094273826445943815e-01,9.875483368888401392e-01,2.546636161908431666e-03,8.111413915421467058e-01
4.950000000000000178e+00,1.094813395752569918e-01,9.874616029155092178e-01,2.548345064030484945e-03,8.109903503332254182e-01
4.979999999999999538e+00,1.095345910895948599e-01,9.873748691817552103e-01,2.549721376990002168e-03,8.108403683713669707e-01
5.009999999999999787e+00,1.095871450306438871e-01,9.872881405062206017e-01,2.550764501693906540e-03,8.106914374631920550e-01
5.040000000000000036e+00,1.096390091567694819e-01,9.872014217070990139e-01,2.551473903578718640e-03,8.105435495518402700e-01
5.069999999999999396e+00,1.096901911427425741e-01,9.871147176013224112e-01,2.551849112511975996e-03,8.103966967144895506e-01
5.099999999999999645e+00,1.097406985807989899e-01,9.870280304992572473e-01,2.552077136651416129e-03,8.102508711599096802e-01
