Z_sem_sync,coordination_success,quotient_mismatch,false_coordination
1.074820143884892,0.337740126242083,0.7753134624891426,0.4870532543574477
1.087769784172662,0.31218411706411714,0.7928446446559857,0.519414694278567
1.1007194244604317,0.28772173938510426,0.8093443255518301,0.551614046223158
1.1136690647482015,0.26443925087343,0.8248201956433632,0.5833864183400386
1.1266187050359713,0.24239962212929012,0.8392893043462768,0.6144808862216303
1.139568345323741,0.22164337963175498,0.8527766388737936,0.6446681285885218
1.1525179856115109,0.20219012162389813,0.8653137181218553,0.6737466352414566
1.1654676258992804,0.18404053697200376,0.8769372452525057,0.7015471735554321
1.1784172661870502,0.16717875533948434,0.8876878516755471,0.7279353786055817
1.19136690647482,0.1515748687325594,0.8976089548240044,0.7528125055641494
1.2043165467625898,0.13718748555823024,0.9067457429741478,0.7761145290588007
1.2172661870503596,0.12396620471433614,0.9151442926568613,0.7978098783761015
1.2302158273381294,0.11185392533114787,0.9228508180426149,0.817896154403914
1.2431654676258992,0.10078893482115715,0.9299110470185956,0.8363961867648371
1.256115107913669,0.09070674197214999,0.9363697153823637,0.8533537661238138
1.2690647482014388,0.08154164187326592,0.9422701684665769,0.8688293384203811
1.2820143884892086,0.07322801511570885,0.947654058375833,0.8828958863093247
1.2949640287769784,0.06570137508475445,0.9525611246515368,0.8956351583486974
1.3079136690647482,0.058899184708414154,0.9570290463908815,0.9071343458582891
1.320863309352518,0.052761468372689656,0.9610933544624976,0.9174832555213416
1.3338129496402877,0.04723124652978476,0.9647873933425518,0.9267719848842911
1.3467625899280575,0.04225482046339645,0.9681423231277894,0.9350890781923477
1.3597122302158273,0.03778193330924346,0.9711871533789572,0.9425201204935335
1.3726618705035971,0.03376583123714348,0.9739488015452014,0.9491467169777351
1.385611510791367,0.030163246059191684,0.9764521697726373,0.9550458001791501
1.3985611510791367,0.026934317717565718,0.9787202348793854,0.9602892081108908
1.4115107913669065,0.024042472323132225,0.9807741471680758,0.9649434800049405
1.4244604316546763,0.021454268792602406,0.9826333345375368,0.9690698217942391
1.437410071942446,0.01913922474498741,0.9843156090469972,0.9727241998098838
1.4503597122302159,0.01706963020583342,0.9858372736821054,0.9759575276768677
1.4633093525179857,0.015220355840699501,0.9872132275787565,0.9788159176177624
1.4762589928057555,0.013568660889534422,0.9884570683860991,0.9813409730431722
1.4892086330935252,0.01209400468146351,0.9895811908029531,0.9835701042855337
1.5021582733812948,0.010777864549173604,0.9905968806110956,0.9855368535786379
1.5151079136690646,0.009603562105139293,0.991514403763046,0.987271218920214
1.5280575539568344,0.008556099159796729,0.9923430902691383,0.98879996933634
1.5410071942446042,0.007622004027314322,0.9930914127760924,0.9901469463699334
1.553956834532374,0.006789188553053799,0.9937670598435334,0.9913333484228851
1.5669064748201438,0.006046815886153756,0.9943770040116336,0.9923779959726857
1.5798561151079136,0.00538517879179245,0.994927564817265,0.9932975767338047
1.5928057553956834,0.0047955881342969684,0.9954244669619626,0.9941068706073566
1.6057553956834532,0.004270271050663842,0.9958728938662162,0.9948189548164199
1.618705035971223,0.003802278262882955,0.9962775368641343,0.9954453900064256
1.6316546762589927,0.00338539993739843,0.9966426403028995,0.9959963883396568
1.6446043165467625,0.0030140894835452322,0.9969720428146783,0.9964809647620775
1.6575539568345323,0.0026833946838037597,0.9972692150265264,0.9969070726950264
1.6705035971223021,0.00238889556239818,0.9975372939676515,0.9972817254239997
1.683453237410072,0.0021266484213350767,0.9977791144243277,0.9976111044376017
1.6964028776978417,0.0018931355014866313,0.9979972374816571,0.9979006559239197
1.7093525179856115,0.001685219758496439,0.9981939764789459,0.9981551765683468
1.7223021582733813,0.0015001042774042445,0.99837142059228,0.9983788897231903
1.735251798561151,0.0013352958846616434,0.9985314562443429,0.9985755129403713
1.7482014388489209,0.0011885725507031807,0.9986757865279647,0.998748317777881
1.7611510791366907,0.00105795420977488,0.9988059488165554,0.998900182711017
1.7741007194244605,0.0009416766558441742,0.9989233307216417,0.999033639902591
1.7870503597122303,0.0008381682038214036,0.999029184545311,0.9991509165134126
1.8,0.000746028833836697,0.9991246403635706,0.9992539711661633
