Delta_sem,policy_preservation,false_merging,proxy_meaning,unsupported_completion
0.8067226890756303,0.3135416288664247,0.823513583965787,0.5704318846831323,0.26836354411085755
0.8201680672268908,0.29925660756042577,0.8349341540091315,0.5868213433973027,0.287240639833659
0.8336134453781513,0.2853518737682849,0.845754112922381,0.6030206618571775,0.3068886082941297
0.8470588235294119,0.2718425789473529,0.8559871633795068,0.618997221833714,0.32726346266447337
0.8605042016806723,0.25874129193402723,0.8656491713970573,0.6347202862006013,0.34831125132062957
0.8739495798319328,0.2460580486625002,0.874757788335164,0.6501612100024547,0.3699682692578365
0.8873949579831933,0.23380042873245516,0.8833320949504824,0.6652936161599047,0.3921615435794532
0.9008403361344538,0.22197365530076643,0.8913922711315516,0.6800935342782409,0.4148095994012367
0.9142857142857144,0.21058071460793756,0.8989592937108366,0.6945395019980802,0.43782349911420215
0.9277310924369748,0.19962249140576369,0.9060546636644575,0.7086126292507868,0.4611081336751812
0.9411764705882354,0.1890979166149428,0.9127001630904001,0.7222966266269124,0.48456373050898355
0.9546218487394958,0.17900412369407287,0.9189176415992051,0.7355777998078751,0.5080875298630033
0.9680672268907564,0.16933661042733347,0.9247288311509114,0.7484450126316913,0.531575571169834
0.9815126050420169,0.16008940311959177,0.9301551879162008,0.7608896218522355,0.5549245240892501
0.9949579831932773,0.15125522050767837,0.9352177594129791,0.7729053870046326,0.5780334960684685
1.0084033613445378,0.1428256350394534,0.9399370749549054,0.7844883590096082,0.6008057497508142
1.0218487394957985,0.13479122952401848,0.9443330573281971,0.7956367512449315,0.6231502692343392
1.035294117647059,0.12714174750511867,0.9484249535703461,0.8063507967945711,0.6449831234941162
1.0487394957983194,0.11986623604564571,0.9522312827433459,0.8166325954709805,0.666228587371306
1.0621848739495798,0.11295317992664522,0.9557697986602858,0.8264859540098963,0.6868199943226778
1.0756302521008405,0.10639062655382488,0.959057465625207,0.8359162225777662,0.7067003094600852
1.089075630252101,0.10016630112466011,0.962110445371189,0.844930130426769,0.7258224251862083
1.1025210084033614,0.09426771183782487,0.9649440935218104,0.8535356231976848,0.7441491940101708
1.1159663865546219,0.08868224512328274,0.9675729640491904,0.8617417040214207,0.7616532232059081
1.1294117647058823,0.08339725103650607,0.9700108203520023,0.8695582802186482,0.7783164634393469
1.142857142857143,0.07840011909539539,0.9722706517247939,0.876996017054471,0.7941296281990529
1.1563025210084035,0.07367834494560911,0.9743646941323953,0.8840661996798419,0.8090914829273287
1.169747899159664,0.06921958832168264,0.9763044543378634,0.8907806040899703,0.8232080424651057
1.1831932773109244,0.0650117228302609,0.9781007365578086,0.8971513776566286,0.8364917132217308
1.1966386554621848,0.061042878120825005,0.9797636709342235,0.9031909295487152,0.8489604128495796
1.2100840336134455,0.05730147503129044,0.9813027432166841,0.9089118311448319,0.8606366956383068
1.223529411764706,0.053776254303502434,0.9827268251430795,0.9143267263628513,0.8715469068009963
1.2369747899159664,0.050456299459497714,0.9840442050910857,0.9194482516834394,0.8817203836930417
1.250420168067227,0.04733105441577546,0.9852626186469395,0.9242889655254043,0.8911887170896589
1.2638655462184876,0.04439033639180758,0.9863892788033045,0.9288612865382622,0.8999850811682804
1.277310924369748,0.04162434464247277,0.987430905554825,0.9331774403088686,0.9081436369352873
1.2907563025210085,0.03902366551360929,0.9883937547090835,0.9372494139315604,0.9156990105700928
1.304201680672269,0.03657927428681274,0.9892836457728378,0.9410889178621269,0.922685845544947
1.3176470588235294,0.03428253424508858,0.9901059888093369,0.9447073544623377,0.9291384253859453
1.33109243697479,0.032125193355940995,0.9908658101929011,0.9481157926410405,0.9350903625117564
1.3445378151260505,0.030099378933686156,0.9915677772124373,0.9513249480075973,0.9405743476476787
