sample,min_mu,min_Sigma,max_Xhat,physical_ok
197,1.1812504698577604,1.0,0.9999964888726696,True
198,1.1224353079118912,1.0,0.999990879989026,True
199,1.295187827724835,1.0,0.9999976982254447,True
200,1.22906859029665,1.0,0.9999959096663138,True
201,1.172960894117726,1.0,0.9999998469893243,True
202,1.108885979628914,1.0,0.9999944474404113,True
203,1.3404395837181307,1.0,0.9999999886228885,True
204,1.231374836160875,1.0,0.9999999903942914,True
205,1.381742837601425,1.0,0.9999970511557825,True
206,1.133197397696207,1.0,0.9999991678801449,True
207,1.3803611350615206,1.0,0.99999455417858,True
208,1.2751942131827405,1.0,0.9999983655692448,True
209,1.2136256338440867,1.0,0.9999940870340585,True
210,1.0936653383967858,1.0,0.9999947978887153,True
211,1.2526601787379257,1.0,0.9999994878169847,True
212,1.067797893324253,1.0,0.9999995746663175,True
213,1.101780882468343,1.0,0.9999988409048994,True
214,1.0764128132185782,1.0,0.999999864486727,True
215,1.3531578020693655,1.0,0.9999989467639772,True
216,1.2938994644249355,1.0,0.999999418303306,True
217,1.0802122086522066,1.0,0.9999999604271774,True
218,1.262170154772758,1.0,0.9999992870539065,True
219,1.2797981623829813,1.0,0.9999968078949905,True
220,1.3195212714874422,1.0,0.9999986050442748,True
221,1.0841631642333405,1.0,0.9999956551975495,True
222,1.2461284926168341,1.0,0.9999900733184854,True
223,1.0996298754449076,1.0,0.999998944125933,True
224,1.2805402243773247,1.0,0.9999925799924819,True
225,1.1330686187354613,1.0,0.9999972494517674,True
226,1.0106853494132957,1.0,0.9999999919699989,True
227,1.134282054820127,1.0,0.9999994471802207,True
228,1.1393458836327794,1.0,0.9999971878301729,True
229,1.0345012173936967,1.0,0.9999930425303318,True
230,1.0671454053821068,1.0,0.9999948195793775,True
231,1.320736568393421,1.0,0.9999954377502824,True
232,1.197596658276744,1.0,0.9999970993137269,True
233,1.1670192249657116,1.0,0.9999998409334235,True
234,1.0291981279948974,1.0,0.9999998283323477,True
235,1.0226412031107426,1.0,0.9999965533527384,True
236,1.1220459611114617,1.0,0.9999995163673764,True
237,1.3095252223839493,1.0,0.9999992487376063,True
238,1.2393296944806778,1.0,0.9999936528958631,True
239,1.063867365145298,1.0,0.9999949934476265,True
240,1.2088891419052574,1.0,0.9999998750623363,True
241,1.2331722619990269,1.0,0.9999982830127122,True
242,1.1761029683991924,1.0,0.9999994112906814,True
243,1.3713229240089904,1.0,0.9999951557559694,True
244,1.3724058865230693,1.0,0.9999999999236113,True
245,1.1980800686511317,1.0,0.99999666926744,True
246,1.0741065164668677,1.0,0.9999993749684549,True
247,1.2944700563300868,1.0,0.9999927185713181,True
248,1.269617575911334,1.0,0.9999950894761719,True
249,1.1659280930331273,1.0,0.9999996921424109,True
250,1.108885979628914,1.0,0.9999944474404113,True
251,1.316633752441027,1.0,0.9999986108207829,True
252,1.2327901842984947,1.0,0.9999993562938518,True
253,1.366751400351224,1.0,0.9999997351845721,True
254,1.133197397696207,1.0,0.9999991678801449,True
255,1.3803611350615206,1.0,0.99999455417858,True
256,1.2751942131827405,1.0,0.9999983655692448,True
257,1.219747135732912,1.0,0.9999965355158957,True
258,1.0936653383967858,1.0,0.9999947978887153,True
259,1.2583520422448782,1.0,0.9999999847189287,True
260,0.9599403708682115,1.0,0.9999909362570608,True
261,1.0739058630712712,1.0,0.9999981193618539,True
262,1.0451743196791141,1.0,0.9999991575368802,True
263,1.2950558422426397,1.0,0.9999986301856887,True
264,1.2938994644249355,1.0,0.999999418303306,True
