residual_hysteresis_bits,task_relevance,task_loss,regime
10.545454545454545,0.85,8.963636363636363,"malignant, high task relevance"
10.666666666666668,0.85,9.066666666666668,"malignant, high task relevance"
10.787878787878789,0.85,9.16969696969697,"malignant, high task relevance"
10.90909090909091,0.85,9.272727272727273,"malignant, high task relevance"
11.030303030303031,0.85,9.375757575757577,"malignant, high task relevance"
11.151515151515152,0.85,9.478787878787879,"malignant, high task relevance"
11.272727272727273,0.85,9.581818181818182,"malignant, high task relevance"
11.393939393939394,0.85,9.684848484848485,"malignant, high task relevance"
11.515151515151516,0.85,9.787878787878787,"malignant, high task relevance"
11.636363636363637,0.85,9.89090909090909,"malignant, high task relevance"
11.757575757575758,0.85,9.993939393939394,"malignant, high task relevance"
11.878787878787879,0.85,10.096969696969698,"malignant, high task relevance"
12.0,0.85,10.2,"malignant, high task relevance"
