x,theta_stable,theta_drift,dimensionless_ratio,extra_bits_drift,extra_bits_stable
8.8268156424581,2.0,2.591120030957095,1.0,3.9214390259010266,0.0
8.882681564245809,2.0,2.636140990129332,1.0,3.9647803126669086,0.0
8.938547486033519,2.0,2.6778026044888597,1.0,4.0045741270818,0.0
8.994413407821229,2.0,2.715728618959115,1.0,4.040465912114735,0.0
9.050279329608937,2.0,2.749586174554729,1.0,4.072146778716711,0.0
9.106145251396647,2.0,2.7790903521630654,1.0,4.099357701396482,0.0
9.162011173184357,2.0,2.8040080199142716,1.0,4.1218929888133875,0.0
9.217877094972067,2.0,2.824160926996878,1.0,4.139602977900818,0.0
9.273743016759775,2.0,2.839427998089133,1.0,4.152395911692,0.0
9.329608938547485,2.0,2.849746794579242,1.0,4.160238973277101,0.0
9.385474860335195,2.0,2.855114121259335,1.0,4.1631584609923875,0.0
9.441340782122904,2.0,2.855585770009815,1.0,4.165077819147459,0.0
9.497206703910614,2.0,2.851275404949192,1.0,4.171694400945255,0.0
9.553072625698324,2.0,2.8423526064142237,1.0,4.182812051538916,0.0
9.608938547486034,2.0,2.8290401037618693,1.0,4.19818323516715,0.0
9.664804469273742,2.0,2.8116102391577567,1.0,4.217512929022001,0.0
9.720670391061452,2.0,2.790380716052167,1.0,4.240463200215913,0.0
9.776536312849162,2.0,2.765709696769931,1.0,4.266658396545262,0.0
9.83240223463687,2.0,2.737990323393469,1.0,4.29569087255446,0.0
9.88826815642458,2.0,2.707644744751535,1.0,4.327127164396263,0.0
9.94413407821229,2.0,2.6751177397098633,1.0,4.360514520280732,0.0
10.0,2.0,2.6408700329825976,1.0,4.394762227007997,0.0
