leakage_strength,I_over_H,mismatch_entropy_over_H,schematic_error_proxy,epsilon
0.38333333333333336,0.8001123859248556,0.1998876140751445,0.1998876140751445,0.08
0.3866666666666667,0.8028913146319374,0.19710868536806259,0.19710868536806259,0.08
0.39,0.8056316094056724,0.19436839059432767,0.19436839059432767,0.08
0.39333333333333337,0.8083338073526087,0.19166619264739126,0.19166619264739126,0.08
0.39666666666666667,0.8109984381121949,0.18900156188780512,0.18900156188780512,0.08
0.4,0.81362602396059,0.18637397603940994,0.18637397603940994,0.08
0.4033333333333334,0.8162170799130324,0.1837829200869676,0.1837829200869676,0.08
0.4066666666666667,0.8187721138247834,0.18122788617521654,0.18122788617521654,0.08
0.41000000000000003,0.8212916264906696,0.1787083735093305,0.1787083735093305,0.08
0.4133333333333334,0.823776111743239,0.17622388825676108,0.17622388825676108,0.08
0.4166666666666667,0.8262260565495549,0.17377394345044508,0.17377394345044508,0.08
0.42000000000000004,0.8286419411066427,0.17135805889335734,0.17135805889335734,0.08
0.42333333333333334,0.8310242389356094,0.16897576106439058,0.16897576106439058,0.08
0.4266666666666667,0.8333734169744564,0.16662658302554362,0.16662658302554362,0.08
0.43000000000000005,0.8356899356695996,0.16431006433040043,0.16431006433040043,0.08
0.43333333333333335,0.8379742490661193,0.16202575093388075,0.16202575093388075,0.08
0.4366666666666667,0.840226804896754,0.1597731951032459,0.1597731951032459,0.08
0.44,0.8424480446696581,0.15755195533034191,0.15755195533034191,0.08
0.44333333333333336,0.8446384037549377,0.15536159624506227,0.15536159624506227,0.08
0.4466666666666667,0.8467983114699859,0.15320168853001415,0.15320168853001415,0.08
0.45,0.8489281911636292,0.15107180883637084,0.15107180883637084,0.08
0.45333333333333337,0.8510284602991062,0.1489715397008938,0.1489715397008938,0.08
0.4566666666666667,0.8530995305358913,0.14690046946410876,0.14690046946410876,0.08
0.46,0.8551418078103807,0.14485819218961923,0.14485819218961923,0.08
0.4633333333333334,0.8571556924154589,0.1428443075845412,0.1428443075845412,0.08
0.4666666666666667,0.859141579078955,0.14085842092104497,0.14085842092104497,0.08
0.47000000000000003,0.861099857041013,0.13890014295898698,0.13890014295898698,0.08
0.4733333333333334,0.8630309101303825,0.1369690898696175,0.1369690898696175,0.08
0.4766666666666667,0.864935116839651,0.13506488316034906,0.13506488316034906,0.08
0.48000000000000004,0.8668128503994295,0.13318714960057054,0.13318714960057054,0.08
0.48333333333333334,0.868664478851507,0.13133552114849303,0.13133552114849303,0.08
0.4866666666666667,0.8704903651209879,0.12950963487901218,0.12950963487901218,0.08
0.49000000000000005,0.8722908670874262,0.12770913291257377,0.12770913291257377,0.08
0.49333333333333335,0.8740663376549715,0.12593366234502845,0.12593366234502845,0.08
0.4966666666666667,0.8758171248215391,0.12418287517846097,0.12418287517846097,0.08
0.5,0.8775435717470181,0.1224564282529819,0.1224564282529819,0.08
0.5033333333333334,0.8792460168205333,0.12075398317946676,0.12075398317946676,0.08
0.5066666666666667,0.8809247937267689,0.11907520627323114,0.11907520627323114,0.08
0.51,0.8825802315113731,0.11741976848862692,0.11741976848862692,0.08
0.5133333333333334,0.8842126546454513,0.11578734535454875,0.11578734535454875,0.08
0.5166666666666667,0.8858223830891636,0.11417761691083644,0.11417761691083644,0.08
0.52,0.8874097323544383,0.11259026764556165,0.11259026764556165,0.08
0.5233333333333333,0.8889750135668133,0.11102498643318673,0.11102498643318673,0.08
0.5266666666666667,0.8905185335264171,0.10948146647358296,0.10948146647358296,0.08
0.53,0.892040594768103,0.10795940523189698,0.10795940523189698,0.08
0.5333333333333333,0.8935414956207473,0.1064585043792528,0.1064585043792528,0.08
0.5366666666666667,0.8950215302657217,0.1049784697342783,0.1049784697342783,0.08
0.54,0.896480988794555,0.10351901120544502,0.10351901120544502,0.08
0.5433333333333333,0.897920157265791,0.10207984273420903,0.10207984273420903,0.08
0.5466666666666667,0.8993393177610574,0.10066068223894266,0.10066068223894266,0.08
0.55,0.9007387484403544,0.0992612515596456,0.0992612515596456,0.08
0.5533333333333333,0.9021187235965753,0.09788127640342473,0.09788127640342473,0.08
0.5566666666666668,0.9034795137092685,0.09652048629073151,0.09652048629073151,0.08
0.56,0.9048213854976525,0.09517861450234759,0.09517861450234759,0.08
0.5633333333333334,0.9061446019728934,0.09385539802710659,0.09385539802710659,0.08
0.5666666666666667,0.9074494224896568,0.09255057751034329,0.09255057751034329,0.08
0.5700000000000001,0.908736102796941,0.09126389720305911,0.09126389720305911,0.08
0.5733333333333334,0.9100048950882051,0.08999510491179488,0.08999510491179488,0.08
0.5766666666666667,0.9112560480508004,0.08874395194919957,0.08874395194919957,0.08
