t,memory+external,channel,causal-boundary,thermodynamic,Cacc,active_bottleneck
40.300000000000004,5.0,3.801741247064871,5.140665520527099,4.897098001125797,3.801741247064871,channel
40.400000000000006,5.0,3.799950370040267,5.139201512255508,4.897039434713438,3.799950370040267,channel
40.5,5.0,3.7981871390760515,5.137702342725288,4.896979687539743,3.7981871390760515,channel
40.6,5.0,3.7964512634378753,5.136167215415522,4.896918735847866,3.7964512634378753,channel
40.7,5.0,3.7947424505702587,5.134595318151481,4.896856555404949,3.7947424505702587,channel
40.800000000000004,5.0,3.7930604063124247,5.132985822918225,4.896793121492674,3.7930604063124247,channel
40.900000000000006,5.0,3.791404835107873,5.13133788567869,4.8967284088976175,3.791404835107873,channel
41.0,5.0,3.789775440207717,5.129650646196745,4.89666239190142,3.789775440207717,channel
41.1,5.0,3.7881719238677984,5.1279232278657085,4.896595044270766,3.7881719238677984,channel
41.2,5.0,3.7865939875396237,5.126154737542845,4.896526339247171,3.7865939875396237,channel
41.300000000000004,5.0,3.7850413320551435,5.124344265390397,4.896456249536563,3.7850413320551435,channel
41.400000000000006,5.0,3.7835136578054414,5.122490884723719,4.896384747298663,3.7835136578054414,channel
41.5,5.0,3.7820106649133707,5.12059365186711,4.896311804136168,3.7820106649133707,channel
41.6,5.0,3.780532053400205,5.1186516060179725,4.89623739108371,3.780532053400205,channel
41.7,5.0,3.779077523346371,5.116663769119942,4.896161478596611,3.779077523346371,channel
41.800000000000004,5.0,3.777646775046325,5.114629145745673,4.89608403653942,3.777646775046325,channel
41.900000000000006,5.0,3.776239509157662,5.1125467229899835,4.896005034174219,3.776239509157662,channel
42.0,5.0,3.77485542684453,5.11041547037409,4.895924440148714,3.77485542684453,channel
42.1,5.0,3.7734942299154355,5.108234339761701,4.895842222484086,3.7734942299154355,channel
42.2,5.0,3.772155620955531,5.106002265287765,4.895758348562619,3.772155620955531,channel
42.300000000000004,5.0,3.7708393034534815,5.103718163300691,4.895672785115073,3.7708393034534815,channel
42.400000000000006,5.0,3.7695449819229943,5.101380932318884,4.895585498207832,3.7695449819229943,channel
42.5,5.0,3.768272362019119,5.098989453002515,4.895496453229789,3.768272362019119,channel
42.6,5.0,3.7670211506494256,5.096542588141394,4.895405614878991,3.7670211506494256,channel
42.7,5.0,3.7657910560801406,5.094039182659925,4.895312947149013,3.7657910560801406,channel
42.800000000000004,5.0,3.7645817880373764,5.0914780636401105,4.895218413315091,3.7645817880373764,channel
42.900000000000006,5.0,3.7633930578035355,5.088858040363599,4.895121975919967,3.7633930578035355,channel
43.0,5.0,3.762224578309012,5.08617790437384,4.8950235967594775,3.762224578309012,channel
43.1,5.0,3.7610760642192953,5.083436429559385,4.894923236867861,3.7610760642192953,channel
43.2,5.0,3.7599472320175815,5.080632372259464,4.894820856502789,3.7599472320175815,channel
43.300000000000004,5.0,3.7588378000830156,5.0777644713929355,4.894716415130102,3.7588378000830156,channel
43.400000000000006,5.0,3.7577474887646565,5.074831448611797,4.894609871408265,3.7577474887646565,channel
43.5,5.0,3.7566760204512972,5.071832008480422,4.894501183172522,3.7566760204512972,channel
43.6,5.0,3.75562311963723,5.0687648386817425,4.894390307418748,3.75562311963723,channel
43.7,5.0,3.7545885129840872,5.065628610251628,4.894277200286999,3.7545885129840872,channel
43.800000000000004,5.0,3.7535719293788516,5.062421977842715,4.894161817044743,3.7535719293788516,channel
43.900000000000006,5.0,3.752573099988157,5.059143580018981,4.894044112069785,3.752573099988157,channel
44.0,5.0,3.751591758308982,5.055792039582382,4.893924038832851,3.751591758308982,channel
44.1,5.0,3.7506276402158507,5.0523659639328775,4.893801549879864,3.7506276402158507,channel
44.2,5.0,3.749680484004641,5.048863945463208,4.8936765968138705,3.749680484004641,channel
44.300000000000004,5.0,3.7487500304331127,5.045284561989785,4.893549130276633,3.7487500304331127,channel
44.400000000000006,5.0,3.7478360227582574,5.041626377221075,4.893419099929874,3.7478360227582574,channel
44.5,5.0,3.746938206770576,5.0378879412648905,4.893286454436171,3.746938206770576,channel
44.6,5.0,3.7460563308253825,5.034067791175968,4.893151141439491,3.7460563308253825,channel
44.7,5.0,3.74519014587124,5.030164451545263,4.89301310754536,3.74519014587124,channel
44.800000000000004,5.0,3.744339405475624,5.026176435132357,4.892872298300666,3.744339405475624,channel
44.900000000000006,5.0,3.7435038658479147,5.022102243542408,4.892728658173079,3.7435038658479147,channel
45.0,5.0,3.74268328585981,5.0179403679490155,4.892582130530096,3.74268328585981,channel
45.1,5.0,3.741877427063258,5.013689289864428,4.892432657617691,3.741877427063258,channel
45.2,5.0,3.741086053706,5.009347481958452,4.892280180538569,3.741086053706,channel
45.300000000000004,5.0,3.7403089327448082,5.0049134089274245,4.89212463923002,3.7403089327448082,channel
45.400000000000006,5.0,3.7395458338565275,5.000385528414586,4.891965972441361,3.7395458338565275,channel
45.5,5.0,3.7387965294469776,4.9957622919831515,4.891804117710967,3.7387965294469776,channel
45.6,5.0,3.7380607946578306,4.991042146143349,4.891639011342874,3.7380607946578306,channel
45.7,5.0,3.737338407371526,4.986223533434648,4.891470588382951,3.737338407371526,channel
45.800000000000004,5.0,3.7366291482143197,4.981304893564345,4.891298782594648,3.7366291482143197,channel
45.900000000000006,5.0,3.7359328005575323,4.976284664603623,4.891123526434279,3.7359328005575323,channel
46.0,5.0,3.735249150517088,4.971161284242138,4.8909447510258754,3.735249150517088,channel
46.1,5.0,3.734577986951409,4.965933191102098,4.8907623861355685,3.734577986951409,channel
46.2,5.0,3.7339191014577455,4.960598826112756,4.890576360145512,3.7339191014577455,channel
46.300000000000004,5.0,3.7332722883670098,4.955156633946087,4.8903866000273295,3.7332722883670098,channel
46.400000000000006,5.0,3.7326373447371837,4.9496050645143965,4.890193031315085,3.7326373447371837,channel
46.5,5.0,3.7320140703453726,4.943942574530437,4.889995578077761,3.7320140703453726,channel
46.6,5.0,3.7314022676785634,4.938167629130529,4.889794162891248,3.7314022676785634,channel
46.7,5.0,3.7308017419231563,4.932278703561049,4.889588706809833,3.7308017419231563,channel
46.800000000000004,5.0,3.7302123009533346,4.9262742849285015,4.8893791293371605,3.7302123009533346,channel
46.900000000000006,5.0,3.7296337553183228,4.920152874013265,4.8891653483967055,3.7296337553183228,channel
47.0,5.0,3.7290659182286054,4.913912987146918,4.888947280301692,3.7290659182286054,channel
47.1,5.0,3.728508605541151,4.907553158152917,4.888724839724498,3.728508605541151,channel
47.2,5.0,3.727961635743701,4.9010719403502,4.888497939665508,3.727961635743701,channel
47.300000000000004,5.0,3.7274248299381796,4.894467908619108,4.888266491421425,3.7274248299381796,channel
47.400000000000006,5.0,3.7268980118232724,4.887739661528805,4.888030404553018,3.7268980118232724,channel
47.5,5.0,3.726381007676221,4.88088582352521,4.887789586852312,3.726381007676221,channel
47.6,5.0,3.725873646333886,4.873905047178174,4.887543944309199,3.725873646333886,channel
47.7,5.0,3.7253757591731285,4.866796015486463,4.88729338107747,3.7253757591731285,channel
47.800000000000004,5.0,3.724887180090541,4.859557444238829,4.8870377994402645,3.724887180090541,channel
47.900000000000006,5.0,3.724407745481587,4.8521880844292244,4.886777099774912,3.724407745481587,channel
