t,R_target_bits,Cacc_bits,Delta_FDS_bits,Qdot_over_kBT
20.700000000000003,3.9828921423310435,4.478767253243174,0.0,0.0
20.8,3.9828921423310435,4.476653836682086,0.0,0.0
20.900000000000002,3.9828921423310435,4.474509514334515,0.0,0.0
21.0,3.9828921423310435,4.472334041589561,0.0,0.0
21.1,3.9828921423310435,4.470127179318533,0.0,0.0
21.200000000000003,3.9828921423310435,4.467888694178756,0.0,0.0
21.3,3.9828921423310435,4.4656183589222405,0.0,0.0
21.400000000000002,3.9828921423310435,4.4633159527090065,0.0,0.0
21.5,3.9828921423310435,4.460981261424818,0.0,0.0
21.6,3.9828921423310435,4.458614078003092,0.0,0.0
21.700000000000003,3.9828921423310435,4.456214202750697,0.0,0.0
21.8,3.9828921423310435,4.453781443677373,0.0,0.0
21.900000000000002,3.9828921423310435,4.451315616828446,0.0,0.0
22.0,3.9828921423310435,4.448816546620532,0.0,0.0
22.1,3.9828921423310435,4.446284066179863,0.0,0.0
22.200000000000003,3.9828921423310435,4.443718017682895,0.0,0.0
22.3,3.9828921423310435,4.441118252698795,0.0,0.0
22.400000000000002,3.9828921423310435,4.438484632533406,0.0,0.0
22.5,3.9828921423310435,4.435817028574279,0.0,0.0
22.6,3.9828921423310435,4.433115322636316,0.0,0.0
22.700000000000003,3.9828921423310435,4.430379407307562,0.0,0.0
22.8,3.9828921423310435,4.427609186294679,0.0,0.0
22.900000000000002,3.9828921423310435,4.424804574767579,0.0,0.0
23.0,3.9828921423310435,4.421965499702723,0.0,0.0
23.1,3.9828921423310435,4.419091900224523,0.0,0.0
23.200000000000003,3.9828921423310435,4.4161837279443175,0.0,0.0
23.3,3.9828921423310435,4.413240947296328,0.0,0.0
23.400000000000002,3.9828921423310435,4.410263535870027,0.0,0.0
23.5,3.9828921423310435,4.407251484738302,0.0,0.0
23.6,3.9828921423310435,4.404204798780801,0.0,0.0
23.700000000000003,3.9828921423310435,4.401123497001831,0.0,0.0
23.8,3.9828921423310435,4.398007612842166,0.0,0.0
23.900000000000002,3.9828921423310435,4.394857194484105,0.0,0.0
24.0,3.9828921423310435,4.3916723051491156,0.0,0.0
24.1,3.9828921423310435,4.388453023387388,0.0,0.0
24.200000000000003,3.9828921423310435,4.385199443358619,0.0,0.0
24.3,3.9828921423310435,4.381911675103334,0.0,0.0
24.400000000000002,3.9828921423310435,4.378589844804053,0.0,0.0
24.5,3.9828921423310435,4.375234095035606,0.0,0.0
24.6,3.9828921423310435,4.371844585003895,0.0,0.0
24.700000000000003,3.9828921423310435,4.368421490772417,0.0,0.0
24.8,3.9828921423310435,4.364965005475824,0.0,0.0
24.900000000000002,3.9828921423310435,4.361475339519867,0.0,0.0
25.0,3.9828921423310435,4.357952720767004,0.0,0.0
25.1,3.9828921423310435,4.354397394707016,0.0,0.0
25.200000000000003,3.9828921423310435,4.3508096246119505,0.0,0.0
25.3,3.9828921423310435,4.347189691674745,0.0,0.0
25.400000000000002,3.9828921423310435,4.343537895130891,0.0,0.0
25.5,3.9828921423310435,4.339854552362503,0.0,0.0
25.6,3.9828921423310435,4.33613999898421,0.0,0.0
25.700000000000003,3.9828921423310435,4.332394588910258,0.0,0.0
25.8,3.9828921423310435,4.328618694402285,0.0,0.0
25.900000000000002,3.9828921423310435,4.3248127060972275,0.0,0.0
26.0,3.9828921423310435,4.320977033014851,0.0,0.0
26.1,3.9828921423310435,4.317112102544428,0.0,0.0
26.200000000000003,3.9828921423310435,4.313218360410123,0.0,0.0
26.3,3.9828921423310435,4.309296270614671,0.0,0.0
26.400000000000002,3.9828921423310435,4.305346315360984,0.0,0.0
26.5,3.9828921423310435,4.301368994951349,0.0,0.0
26.6,3.9828921423310435,4.297364827663917,0.0,0.0
26.700000000000003,3.9828921423310435,4.293334349606247,0.0,0.0
26.8,3.9828921423310435,4.289278114545687,0.0,0.0
26.900000000000002,3.9828921423310435,4.285196693716444,0.0,0.0
27.0,3.9828921423310435,4.281090675603216,0.0,0.0
